"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 12월 27일","22,225","22,465","22,485","22,225","523.99K","-1.07%"
"2021년 12월 24일","22,465","22,460","22,640","22,305","769.69K","0.94%"
"2021년 12월 23일","22,255","22,275","22,480","22,180","807.98K","1.25%"
"2021년 12월 22일","21,980","22,375","22,550","21,940","925.09K","-0.86%"
"2021년 12월 21일","22,170","22,155","22,250","21,505","1.17M","-0.11%"
"2021년 12월 20일","22,195","22,530","22,560","22,170","0.01K","-2.14%"
"2021년 12월 19일","22,680","22,680","22,680","22,680","-","0.00%"
"2021년 12월 17일","22,680","22,485","22,770","22,485","542.55K","-0.94%"
"2021년 12월 16일","22,895","22,855","23,125","22,855","0.00K","1.26%"
"2021년 12월 15일","22,610","22,525","22,750","22,425","1.08M","-0.53%"
"2021년 12월 14일","22,730","22,850","22,860","22,560","0.10K","-1.52%"
"2021년 12월 13일","23,080","23,330","23,460","23,055","827.71K","-1.07%"
"2021년 12월 10일","23,330","23,505","23,550","23,325","878.34K","-1.64%"
"2021년 12월 09일","23,720","23,725","23,830","23,505","0.04K","0.44%"
"2021년 12월 08일","23,615","23,150","23,760","23,130","1.81M","3.23%"
"2021년 12월 07일","22,875","23,170","23,320","22,780","1.36M","-0.93%"
"2021년 12월 06일","23,090","23,130","23,130","22,700","1.32M","-1.09%"
"2021년 12월 05일","23,345","23,345","23,345","23,345","-","0.00%"
"2021년 12월 03일","23,345","23,010","23,425","22,905","1.74M","1.94%"
"2021년 12월 02일","22,900","23,215","23,285","22,660","0.10K","-2.72%"
"2021년 12월 01일","23,540","23,660","23,760","22,810","0.00K","-0.11%"
"2021년 11월 30일","23,565","24,340","24,525","23,325","0.03K","-1.94%"
"2021년 11월 29일","24,030","23,510","24,265","23,505","2.68M","-1.40%"
"2021년 11월 28일","24,370","24,370","24,370","24,370","-","0.00%"
"2021년 11월 26일","24,370","24,500","24,840","24,170","2.75M","-0.69%"
"2021년 11월 25일","24,540","24,575","24,845","24,490","2.62M","0.02%"
"2021년 11월 24일","24,535","24,000","24,535","23,925","2.96M","1.95%"
"2021년 11월 23일","24,065","24,025","24,355","23,980","0.00K","-0.72%"
"2021년 11월 22일","24,240","24,610","24,610","23,750","0.13K","-1.82%"
"2021년 11월 21일","24,690","24,690","24,690","24,690","-","0.00%"
"2021년 11월 19일","24,690","24,710","24,890","24,435","3.17M","-0.04%"
"2021년 11월 18일","24,700","24,290","24,700","24,050","0.11K","1.81%"
"2021년 11월 17일","24,260","24,430","24,465","24,145","2.84M","0.02%"
"2021년 11월 16일","24,255","24,180","24,425","24,025","2.00M","-0.25%"
"2021년 11월 15일","24,315","24,230","24,400","24,095","0.02K","-0.06%"
"2021년 11월 14일","24,330","24,330","24,330","24,330","-","0.00%"
"2021년 11월 12일","24,330","23,710","24,330","23,595","8.64M","2.70%"
"2021년 11월 11일","23,690","22,865","23,690","22,860","2.82M","2.58%"
"2021년 11월 10일","23,095","23,405","23,660","22,930","0.04K","-2.31%"
"2021년 11월 09일","23,640","23,130","23,640","23,010","0.59K","2.18%"
"2021년 11월 08일","23,135","23,125","23,225","22,860","1.52M","0.41%"
"2021년 11월 05일","23,040","23,060","23,190","22,835","1.92M","1.10%"
"2021년 11월 04일","22,790","22,635","22,815","22,605","1.48M","1.79%"
"2021년 11월 03일","22,390","22,350","22,675","22,255","1.52M","0.34%"
"2021년 11월 02일","22,315","22,230","22,595","22,230","1.83M","0.95%"
"2021년 11월 01일","22,105","22,585","22,640","21,965","2.72M","-1.91%"
"2021년 10월 29일","22,535","22,640","22,835","22,500","1.69M","-0.24%"
"2021년 10월 28일","22,590","22,930","22,930","22,590","0.04K","-1.07%"
"2021년 10월 27일","22,835","22,935","23,120","22,620","0.14K","-0.44%"
"2021년 10월 26일","22,935","23,230","23,340","22,905","2.29M","0.28%"
"2021년 10월 25일","22,870","22,700","22,900","22,185","0.01K","0.11%"
"2021년 10월 24일","22,845","22,845","22,845","22,845","-","0.00%"
"2021년 10월 22일","22,845","22,685","23,075","22,610","4.19M","-0.09%"
"2021년 10월 21일","22,865","23,475","23,535","22,665","0.35K","-2.60%"
"2021년 10월 20일","23,475","24,020","24,050","23,390","0.02K","-1.80%"
"2021년 10월 19일","23,905","23,790","24,065","23,720","4.45M","1.53%"
"2021년 10월 18일","23,545","23,555","23,865","23,470","2.89M","0.32%"
"2021년 10월 17일","23,470","23,470","23,470","23,470","-","0.00%"
"2021년 10월 15일","23,470","23,600","23,715","23,200","2.04M","-0.06%"
"2021년 10월 14일","23,485","23,355","23,710","23,200","3.39M","1.25%"
"2021년 10월 13일","23,195","22,420","23,225","22,400","0.13K","3.64%"
"2021년 10월 12일","22,380","22,325","22,480","22,205","1.73M","0.18%"
"2021년 10월 11일","22,340","22,340","22,340","22,340","-","0.00%"
"2021년 10월 08일","22,340","22,230","22,800","22,220","4.02M","1.29%"
"2021년 10월 07일","22,055","22,285","22,435","21,205","4.18M","0.18%"
"2021년 10월 06일","22,015","23,535","23,565","21,850","0.88K","-5.21%"
"2021년 10월 05일","23,225","23,050","23,385","22,745","3.09M","-0.81%"
"2021년 10월 04일","23,415","23,415","23,415","23,415","-","0.00%"
"2021년 10월 01일","23,415","23,555","23,790","23,335","3.95M","-1.16%"
"2021년 09월 30일","23,690","23,305","23,740","23,105","0.30K","0.23%"
"2021년 09월 29일","23,635","22,755","23,720","22,755","0.04K","0.75%"
"2021년 09월 28일","23,460","23,785","23,810","23,215","0.00K","-1.43%"
"2021년 09월 27일","23,800","23,305","23,800","23,230","4.60M","2.65%"
"2021년 09월 24일","23,185","22,910","23,300","22,830","6.30M","2.91%"
"2021년 09월 23일","22,530","21,950","22,575","21,950","2.15M","0.78%"
"2021년 09월 22일","22,355","22,355","22,355","22,355","-","0.00%"
"2021년 09월 17일","22,355","22,460","22,550","22,010","3.80M","-0.45%"
"2021년 09월 16일","22,455","22,590","22,860","22,335","4.38M","-0.55%"
"2021년 09월 15일","22,580","22,420","22,585","22,175","0.06K","0.71%"
"2021년 09월 14일","22,420","22,240","22,480","21,870","0.01K","1.17%"
"2021년 09월 13일","22,160","21,480","22,440","21,445","9.48M","2.85%"
"2021년 09월 12일","21,545","21,545","21,545","21,545","-","0.00%"
"2021년 09월 10일","21,545","21,075","21,570","20,965","6.13M","2.74%"
"2021년 09월 09일","20,970","20,945","21,250","20,855","4.48M","0.77%"
"2021년 09월 08일","20,810","20,805","20,910","20,670","0.10K","0.34%"
"2021년 09월 07일","20,740","20,280","20,800","20,275","2.42M","2.34%"
"2021년 09월 06일","20,265","20,105","20,460","20,055","0.05K","1.12%"
"2021년 09월 05일","20,040","20,040","20,040","20,040","-","0.00%"
"2021년 09월 03일","20,040","19,670","20,055","19,570","1.20M","1.91%"
"2021년 09월 02일","19,665","20,135","20,135","19,610","1.08K","-2.84%"
"2021년 09월 01일","20,240","20,505","20,505","20,140","0.01K","-1.15%"
"2021년 08월 31일","20,475","19,970","20,510","19,960","0.11K","3.04%"
"2021년 08월 30일","19,870","20,250","20,270","19,755","1.45M","-1.07%"
"2021년 08월 27일","20,085","19,875","20,150","19,770","1.13M","0.10%"
"2021년 08월 26일","20,065","20,290","20,345","19,880","1.39M","-0.96%"
"2021년 08월 25일","20,260","19,960","20,260","19,800","1.81M","1.76%"
"2021년 08월 24일","19,910","20,485","20,600","19,485","0.01K","-1.90%"
"2021년 08월 23일","20,295","20,545","20,620","20,085","1.96M","-0.71%"
"2021년 08월 20일","20,440","20,770","20,930","20,235","2.84M","-0.97%"
"2021년 08월 19일","20,640","20,570","21,105","20,540","0.05K","-0.89%"
"2021년 08월 18일","20,825","20,215","20,845","20,065","3.37M","2.33%"
"2021년 08월 17일","20,350","21,215","21,235","20,280","0.00K","-4.46%"
"2021년 08월 16일","21,300","21,300","21,300","21,300","-","0.00%"
"2021년 08월 13일","21,300","21,400","21,520","21,010","4.47M","-0.28%"
"2021년 08월 12일","21,360","20,865","21,410","20,865","0.00K","2.89%"
"2021년 08월 11일","20,760","20,730","20,935","20,640","1.58M","-0.53%"
"2021년 08월 10일","20,870","20,875","20,915","20,540","0.15K","0.43%"
"2021년 08월 09일","20,780","20,190","20,880","20,060","5.88M","2.79%"
"2021년 08월 08일","20,215","20,215","20,215","20,215","-","0.00%"
"2021년 08월 06일","20,215","20,335","20,445","20,165","694.58K","-0.10%"
"2021년 08월 05일","20,235","19,895","20,295","19,815","734.59K","1.50%"
"2021년 08월 04일","19,935","20,000","20,030","19,515","1.41M","-0.33%"
"2021년 08월 03일","20,000","20,200","20,435","19,910","0.12K","-0.79%"
"2021년 08월 02일","20,160","20,150","20,230","19,815","913.76K","0.05%"
"2021년 07월 30일","20,150","20,275","20,415","20,055","1.32M","-0.49%"
"2021년 07월 29일","20,250","20,190","20,260","20,060","0.34K","0.82%"
"2021년 07월 28일","20,085","20,050","20,295","19,865","1.40M","-0.99%"
"2021년 07월 27일","20,285","20,370","20,470","20,105","0.02K","0.32%"
"2021년 07월 26일","20,220","20,305","20,495","20,115","0.78K","-0.20%"
