"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016년 07월 21일","4.64","4.72","4.72","4.72","0.01K","-0.85%"
"2016년 07월 20일","4.68","4.79","4.79","4.67","3.79K","0.43%"
"2016년 07월 19일","4.66","4.90","4.90","4.75","0.79K","-3.72%"
"2016년 07월 18일","4.84","5.12","5.12","4.92","1.11K","-1.63%"
"2016년 07월 15일","4.92","4.70","4.70","4.70","0.00K","3.14%"
"2016년 07월 14일","4.77","4.85","4.85","4.85","0.01K","-0.21%"
"2016년 07월 13일","4.78","4.65","4.94","4.65","0.62K","3.46%"
"2016년 07월 12일","4.62","4.43","4.58","4.43","0.06K","4.52%"
"2016년 07월 11일","4.42","4.53","4.53","4.48","0.02K","-2.43%"
"2016년 07월 08일","4.53","4.57","4.64","4.56","0.37K","-0.88%"
"2016년 07월 07일","4.57","4.72","4.72","4.63","0.01K","-0.22%"
"2016년 07월 06일","4.58","4.51","4.51","4.51","0.02K","-2.55%"
"2016년 07월 05일","4.70","4.96","4.99","4.78","0.70K","-5.24%"
"2016년 07월 04일","4.96","4.87","5.11","4.80","0.88K","7.59%"
"2016년 07월 01일","4.61","4.46","4.46","4.46","0.00K","3.36%"
"2016년 06월 30일","4.46","4.64","4.66","4.55","0.95K","-1.11%"
"2016년 06월 29일","4.51","4.67","4.67","4.47","0.58K","-3.63%"
"2016년 06월 28일","4.68","4.99","5.00","4.80","0.70K","-1.68%"
"2016년 06월 27일","4.76","5.06","5.06","5.00","0.06K","-3.84%"
"2016년 06월 24일","4.95","4.89","4.89","4.89","0.01K","-12.08%"
"2016년 06월 23일","5.63","5.77","5.78","5.69","0.10K","-0.71%"
"2016년 06월 22일","5.67","5.57","5.57","5.57","2.00K","2.35%"
"2016년 06월 21일","5.54","5.56","5.56","5.56","0.11K","-5.14%"
"2016년 06월 20일","5.84","5.90","5.97","5.88","0.10K","3.18%"
"2016년 06월 17일","5.66","5.74","5.74","5.67","0.07K","-0.70%"
"2016년 06월 16일","5.70","5.93","5.94","5.80","0.18K","-3.23%"
"2016년 06월 15일","5.89","6.00","6.01","5.95","0.18K","0.86%"
"2016년 06월 14일","5.84","5.91","5.97","5.85","1.09K","0.00%"
"2016년 06월 13일","5.84","5.89","5.89","5.85","0.14K","-1.68%"
"2016년 06월 10일","5.94","5.97","5.97","5.95","0.12K","-2.62%"
"2016년 06월 09일","6.10","6.06","6.06","6.06","0.07K","0.16%"
"2016년 06월 08일","6.09","6.19","6.28","6.15","0.64K","-0.16%"
"2016년 06월 07일","6.10","6.36","6.36","6.36","0.07K","-1.45%"
"2016년 06월 06일","6.19","6.16","6.33","6.14","1.12K","4.38%"
