"날짜","종가","오픈","고가","저가","변동 %"
"2018년 08월 14일","1.1344","1.1410","1.1431","1.1330","-0.57%"
"2018년 08월 13일","1.1409","1.1389","1.1434","1.1364","-0.02%"
"2018년 08월 10일","1.1411","1.1526","1.1537","1.1384","-1.01%"
"2018년 08월 09일","1.1527","1.1609","1.1620","1.1525","-0.72%"
"2018년 08월 08일","1.1611","1.1598","1.1629","1.1571","0.10%"
"2018년 08월 07일","1.1599","1.1555","1.1610","1.1547","0.39%"
"2018년 08월 06일","1.1554","1.1571","1.1574","1.1527","-0.11%"
"2018년 08월 03일","1.1567","1.1583","1.1611","1.1559","-0.15%"
"2018년 08월 02일","1.1584","1.1660","1.1669","1.1582","-0.65%"
"2018년 08월 01일","1.1660","1.1691","1.1701","1.1656","-0.27%"
"2018년 07월 31일","1.1691","1.1706","1.1745","1.1682","-0.13%"
"2018년 07월 30일","1.1706","1.1660","1.1721","1.1648","0.41%"
"2018년 07월 27일","1.1658","1.1643","1.1665","1.1621","0.13%"
"2018년 07월 26일","1.1643","1.1728","1.1744","1.1639","-0.72%"
"2018년 07월 25일","1.1728","1.1684","1.1739","1.1663","0.36%"
"2018년 07월 24일","1.1686","1.1692","1.1719","1.1654","-0.05%"
"2018년 07월 23일","1.1692","1.1730","1.1752","1.1682","-0.24%"
"2018년 07월 20일","1.1720","1.1644","1.1740","1.1626","0.66%"
"2018년 07월 19일","1.1643","1.1639","1.1680","1.1574","0.03%"
"2018년 07월 18일","1.1639","1.1660","1.1665","1.1601","-0.19%"
"2018년 07월 17일","1.1661","1.1711","1.1746","1.1650","-0.42%"
"2018년 07월 16일","1.1710","1.1676","1.1726","1.1674","0.21%"
"2018년 07월 13일","1.1685","1.1669","1.1688","1.1610","0.11%"
"2018년 07월 12일","1.1672","1.1674","1.1697","1.1648","-0.02%"
"2018년 07월 11일","1.1674","1.1745","1.1760","1.1665","-0.60%"
"2018년 07월 10일","1.1744","1.1751","1.1764","1.1690","-0.06%"
"2018년 07월 09일","1.1751","1.1748","1.1792","1.1731","0.03%"
"2018년 07월 06일","1.1747","1.1690","1.1769","1.1679","0.48%"
"2018년 07월 05일","1.1691","1.1655","1.1722","1.1649","0.30%"
"2018년 07월 04일","1.1656","1.1658","1.1684","1.1629","-0.01%"
"2018년 07월 03일","1.1657","1.1641","1.1675","1.1621","0.14%"
"2018년 07월 02일","1.1641","1.1651","1.1699","1.1590","-0.38%"
"2018년 06월 29일","1.1685","1.1569","1.1692","1.1558","1.00%"
"2018년 06월 28일","1.1569","1.1555","1.1602","1.1527","0.13%"
"2018년 06월 27일","1.1554","1.1647","1.1674","1.1541","-0.80%"
"2018년 06월 26일","1.1647","1.1704","1.1722","1.1635","-0.49%"
"2018년 06월 25일","1.1704","1.1659","1.1715","1.1627","0.40%"
"2018년 06월 22일","1.1657","1.1604","1.1677","1.1600","0.47%"
"2018년 06월 21일","1.1603","1.1572","1.1635","1.1509","0.27%"
"2018년 06월 20일","1.1572","1.1590","1.1602","1.1537","-0.16%"
"2018년 06월 19일","1.1590","1.1624","1.1646","1.1530","-0.28%"
"2018년 06월 18일","1.1623","1.1609","1.1625","1.1563","0.12%"
"2018년 06월 15일","1.1609","1.1568","1.1629","1.1543","0.35%"
"2018년 06월 14일","1.1569","1.1791","1.1853","1.1562","-1.88%"
"2018년 06월 13일","1.1791","1.1745","1.1803","1.1725","0.39%"
"2018년 06월 12일","1.1745","1.1784","1.1811","1.1733","-0.33%"
"2018년 06월 11일","1.1784","1.1766","1.1822","1.1754","0.14%"
"2018년 06월 08일","1.1768","1.1800","1.1812","1.1726","-0.26%"
"2018년 06월 07일","1.1799","1.1774","1.1842","1.1772","0.22%"
"2018년 06월 06일","1.1773","1.1717","1.1797","1.1708","0.47%"
"2018년 06월 05일","1.1718","1.1698","1.1733","1.1652","0.16%"
"2018년 06월 04일","1.1699","1.1656","1.1744","1.1652","0.33%"
"2018년 06월 01일","1.1661","1.1691","1.1718","1.1617","-0.27%"
"2018년 05월 31일","1.1692","1.1665","1.1726","1.1641","0.25%"
"2018년 05월 30일","1.1663","1.1540","1.1678","1.1518","1.07%"
"2018년 05월 29일","1.1540","1.1625","1.1641","1.1508","-0.71%"
"2018년 05월 28일","1.1623","1.1651","1.1729","1.1605","-0.25%"
"2018년 05월 25일","1.1652","1.1720","1.1735","1.1645","-0.58%"
"2018년 05월 24일","1.1720","1.1695","1.1750","1.1688","0.20%"
"2018년 05월 23일","1.1697","1.1778","1.1790","1.1675","-0.70%"
"2018년 05월 22일","1.1779","1.1792","1.1830","1.1754","-0.10%"
"2018년 05월 21일","1.1791","1.1764","1.1797","1.1717","0.11%"
"2018년 05월 18일","1.1778","1.1796","1.1825","1.1749","-0.14%"
"2018년 05월 17일","1.1795","1.1808","1.1839","1.1775","-0.10%"
"2018년 05월 16일","1.1807","1.1837","1.1854","1.1762","-0.26%"
