"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2020년 04월 02일","56.59","56.70","56.70","54.80","23.38M","-0.93%"
"2020년 04월 01일","57.12","59.90","60.66","57.02","36.56M","-4.75%"
"2020년 03월 31일","59.97","56.76","59.99","55.45","35.02M","6.65%"
"2020년 03월 30일","56.23","55.00","57.78","54.87","32.89M","2.65%"
"2020년 03월 27일","54.78","55.40","56.05","54.44","23.00M","0.94%"
"2020년 03월 26일","54.27","52.50","55.18","51.61","29.66M","3.87%"
"2020년 03월 25일","52.25","51.55","52.80","51.04","28.98M","5.07%"
"2020년 03월 24일","49.73","49.26","49.88","47.39","20.50M","3.28%"
"2020년 03월 23일","48.15","50.25","50.80","47.89","24.27M","-8.32%"
"2020년 03월 20일","52.52","52.30","52.79","51.40","14.83M","2.26%"
"2020년 03월 19일","51.36","52.11","52.52","49.88","19.45M","-1.40%"
"2020년 03월 18일","52.09","53.59","54.67","52.02","17.27M","-1.79%"
"2020년 03월 17일","53.04","53.88","54.96","51.88","18.09M","-1.56%"
"2020년 03월 16일","53.88","56.59","57.33","53.88","23.88M","-3.20%"
"2020년 03월 13일","55.66","53.80","56.50","52.35","21.32M","-2.40%"
"2020년 03월 12일","57.03","57.31","57.66","55.90","23.24M","-2.93%"
"2020년 03월 11일","58.75","60.77","61.15","58.60","22.22M","-2.36%"
"2020년 03월 10일","60.17","57.60","61.50","57.33","26.68M","1.21%"
"2020년 03월 09일","59.45","63.29","63.29","59.18","29.25M","-9.04%"
"2020년 03월 06일","65.36","65.50","67.55","65.33","14.72M","-2.17%"
"2020년 03월 05일","66.81","67.02","67.62","65.50","17.00M","0.35%"
"2020년 03월 04일","66.58","66.95","67.80","64.72","18.09M","-1.90%"
"2020년 03월 03일","67.87","69.80","70.20","67.46","27.43M","1.53%"
"2020년 03월 02일","66.85","65.60","67.23","64.00","22.56M","2.26%"
"2020년 02월 28일","65.37","66.66","68.99","64.95","33.83M","-6.68%"
"2020년 02월 27일","70.05","71.68","73.15","68.08","27.27M","-2.30%"
"2020년 02월 26일","71.70","69.78","75.80","69.00","52.28M","1.20%"
"2020년 02월 25일","70.85","64.40","72.19","64.17","40.74M","7.02%"
"2020년 02월 24일","66.20","65.42","67.14","64.96","35.80M","-1.93%"
"2020년 02월 21일","67.50","67.00","68.27","65.68","45.52M","-0.88%"
"2020년 02월 20일","68.10","63.17","68.10","63.11","64.94M","10.00%"
"2020년 02월 19일","61.91","64.47","64.48","61.66","43.75M","4.10%"
"2020년 02월 18일","59.47","57.80","60.00","57.77","22.84M","1.69%"
"2020년 02월 17일","58.48","56.91","58.56","56.91","20.99M","2.78%"
"2020년 02월 14일","56.90","57.56","57.90","56.44","21.12M","-1.13%"
"2020년 02월 13일","57.55","58.50","60.13","57.50","23.69M","-2.77%"
"2020년 02월 12일","59.19","59.04","60.60","58.35","19.75M","0.25%"
"2020년 02월 11일","59.04","60.00","60.12","58.28","19.62M","-3.10%"
"2020년 02월 10일","60.93","59.20","63.36","58.85","35.28M","5.23%"
"2020년 02월 07일","57.90","60.74","60.74","56.66","32.13M","-4.69%"
"2020년 02월 06일","60.75","58.45","60.85","58.40","30.11M","-0.10%"
"2020년 02월 05일","60.81","57.70","62.00","56.99","44.62M","7.90%"
"2020년 02월 04일","56.36","54.00","57.50","54.00","36.78M","4.66%"
"2020년 02월 03일","53.85","53.85","54.48","53.85","10.04M","-9.99%"
"2020년 01월 23일","59.83","57.99","61.88","57.51","29.16M","0.94%"
"2020년 01월 22일","59.27","56.50","60.50","56.10","32.80M","4.50%"
"2020년 01월 21일","56.72","57.72","57.73","56.55","20.38M","-3.47%"
"2020년 01월 20일","58.76","57.30","59.90","56.50","30.08M","1.40%"
"2020년 01월 17일","57.95","53.86","59.50","53.20","53.06M","7.14%"
"2020년 01월 16일","54.09","53.49","54.54","51.78","33.57M","1.46%"
"2020년 01월 15일","53.31","54.01","54.75","52.28","29.87M","-0.24%"
"2020년 01월 14일","53.44","55.00","55.99","53.00","61.50M","3.55%"
"2020년 01월 13일","51.61","51.61","51.61","50.51","51.88M","10.00%"
"2020년 01월 10일","46.92","47.66","47.66","46.61","10.93M","-1.53%"
"2020년 01월 09일","47.65","47.75","48.20","47.38","8.92M","0.78%"
"2020년 01월 08일","47.28","47.55","48.35","47.15","11.10M","-1.60%"
"2020년 01월 07일","48.05","48.31","48.50","47.77","9.34M","-0.48%"
"2020년 01월 06일","48.28","47.39","49.19","47.19","16.99M","0.50%"
"2020년 01월 03일","48.04","48.20","48.99","47.68","12.99M","-0.27%"
"2020년 01월 02일","48.17","47.69","48.47","47.51","15.93M","1.05%"
"2019년 12월 31일","47.67","47.51","48.10","46.90","13.22M","0.06%"
"2019년 12월 30일","47.64","46.35","47.80","46.02","19.65M","3.57%"
"2019년 12월 27일","46.00","46.20","46.85","46.00","10.96M","-0.88%"
"2019년 12월 26일","46.41","46.21","47.25","46.14","11.03M","-0.94%"
"2019년 12월 25일","46.85","47.05","48.14","46.51","19.18M","0.15%"
"2019년 12월 24일","46.78","45.75","46.85","45.75","15.66M","2.72%"
"2019년 12월 23일","45.54","46.32","46.42","45.47","13.28M","-2.32%"
"2019년 12월 20일","46.62","45.23","47.28","45.05","28.98M","3.67%"
"2019년 12월 19일","44.97","44.70","45.00","44.26","10.12M","0.60%"
"2019년 12월 18일","44.70","45.08","45.08","44.53","11.32M","-0.75%"
"2019년 12월 17일","45.04","44.17","45.55","44.16","19.05M","2.06%"
"2019년 12월 16일","44.13","43.43","44.15","43.23","12.53M","1.75%"
"2019년 12월 13일","43.37","43.79","43.89","43.23","14.16M","-0.25%"
"2019년 12월 12일","43.48","44.09","44.09","43.23","8.09M","-1.45%"
"2019년 12월 11일","44.12","43.36","44.23","43.19","8.89M","1.59%"
"2019년 12월 10일","43.43","43.53","43.53","43.20","4.22M","0.12%"
"2019년 12월 09일","43.38","43.71","43.80","43.27","5.83M","-0.75%"
"2019년 12월 06일","43.71","44.05","44.14","43.47","6.81M","-0.75%"
"2019년 12월 05일","44.04","44.20","44.41","43.90","6.29M","-0.20%"
"2019년 12월 04일","44.13","43.72","44.44","43.44","6.90M","0.78%"
"2019년 12월 03일","43.79","43.15","43.84","42.99","4.70M","1.48%"
"2019년 12월 02일","43.15","43.39","43.54","43.05","4.33M","-0.55%"
"2019년 11월 29일","43.39","43.27","43.62","43.02","4.41M","0.49%"
"2019년 11월 28일","43.18","43.58","43.73","43.15","4.81M","-1.64%"
"2019년 11월 27일","43.90","44.46","44.47","43.85","4.83M","-1.57%"
"2019년 11월 26일","44.60","44.78","45.09","43.75","9.96M","-0.60%"
"2019년 11월 25일","44.87","44.16","45.28","43.54","12.17M","2.40%"
"2019년 11월 22일","43.82","43.73","44.60","43.45","7.03M","0.46%"
"2019년 11월 21일","43.62","43.20","43.87","42.78","5.70M","1.21%"
"2019년 11월 20일","43.10","43.60","43.60","43.01","3.94M","-1.46%"
"2019년 11월 19일","43.74","42.56","43.75","42.56","5.35M","2.12%"
"2019년 11월 18일","42.83","42.90","43.03","42.52","5.37M","-0.67%"
"2019년 11월 15일","43.12","43.53","43.63","42.80","4.61M","-0.92%"
"2019년 11월 14일","43.52","43.50","43.82","43.32","4.04M","0.55%"
"2019년 11월 13일","43.28","44.12","44.17","43.00","5.80M","-1.86%"
"2019년 11월 12일","44.10","43.92","44.33","43.55","4.46M","0.34%"
"2019년 11월 11일","43.95","44.80","44.80","43.63","6.17M","-2.07%"
"2019년 11월 08일","44.88","45.88","45.95","44.80","9.14M","0.45%"
"2019년 11월 07일","44.68","44.03","45.65","43.69","9.68M","0.84%"
"2019년 11월 06일","44.31","44.10","44.85","43.53","9.67M","0.82%"
"2019년 11월 05일","43.95","43.52","44.35","43.02","7.70M","1.20%"
"2019년 11월 04일","43.43","43.57","43.80","43.13","5.41M","-0.32%"
"2019년 11월 01일","43.57","42.80","43.75","42.30","6.73M","1.68%"
"2019년 10월 31일","42.85","43.95","43.95","42.60","11.07M","-2.53%"
"2019년 10월 30일","43.96","45.90","45.90","43.50","17.24M","-6.77%"
"2019년 10월 29일","47.15","47.34","47.89","47.10","5.51M","-0.32%"
"2019년 10월 28일","47.30","47.03","47.46","47.03","5.26M","0.55%"
"2019년 10월 25일","47.04","46.80","47.17","46.44","3.71M","0.81%"
"2019년 10월 24일","46.66","46.50","46.82","46.50","3.16M","0.13%"
"2019년 10월 23일","46.60","46.79","46.95","46.56","3.04M","-0.43%"
"2019년 10월 22일","46.80","46.59","46.86","46.52","3.32M","0.49%"
"2019년 10월 21일","46.57","46.90","46.98","46.21","5.28M","-0.70%"
"2019년 10월 18일","46.90","47.99","47.99","46.82","7.50M","-1.30%"
"2019년 10월 17일","47.52","47.52","47.75","47.40","3.85M","0.00%"
"2019년 10월 16일","47.52","48.00","48.24","47.48","7.15M","-1.00%"
"2019년 10월 15일","48.00","48.90","49.00","47.90","7.66M","-1.74%"
"2019년 10월 14일","48.85","48.98","49.38","48.50","8.39M","0.87%"
"2019년 10월 11일","48.43","48.50","48.96","47.97","7.57M","-1.16%"
"2019년 10월 10일","49.00","48.40","49.20","48.36","6.26M","1.89%"
"2019년 10월 09일","48.09","48.30","48.32","47.28","5.05M","-0.68%"
"2019년 10월 08일","48.42","48.80","49.26","48.30","4.86M","-0.74%"
"2019년 09월 30일","48.78","48.65","49.13","48.54","4.91M","0.41%"
"2019년 09월 27일","48.58","48.49","48.81","48.38","4.07M","0.19%"
"2019년 09월 26일","48.49","49.30","49.50","48.48","6.95M","-1.12%"
"2019년 09월 25일","49.04","49.85","49.85","48.90","8.08M","-1.66%"
"2019년 09월 24일","49.87","49.40","50.40","49.19","7.98M","1.40%"
"2019년 09월 23일","49.18","49.90","49.95","48.85","9.59M","-1.78%"
"2019년 09월 20일","50.07","50.40","50.44","50.00","6.88M","-0.24%"
"2019년 09월 19일","50.19","50.18","50.26","49.80","6.17M","0.30%"
"2019년 09월 18일","50.04","50.00","50.13","49.81","5.33M","0.14%"
"2019년 09월 17일","49.97","51.20","51.23","49.68","10.56M","-2.33%"
"2019년 09월 16일","51.16","51.35","51.36","50.85","8.38M","0.73%"
